"iso_o","year","ck","pop_o","area_o","TO","temperature","rainfall","openness_hat","AperP","ckperP"
"LSO",2011,19899.0703125,2064166,30355,1.3856873044,13.2546425,73.0181258333333,0.00182626686062086,0.0147056971193208,0.00964024710827521
"LSO",2012,20824.099609375,2089928,30355,1.3898306889,13.5768908333333,59.0220533333333,0.000435894711479842,0.0145244238079015,0.00996402728198053
"LSO",2013,22283.962890625,2117361,30355,1.2489989416,13.88473,54.2227533333333,5.64936622137867e-06,0.0143362421429317,0.0105244041477221
"LSO",2014,23889.3671875,2145785,30355,1.1791119866,13.8873858333333,61.120935,0.00176748648050403,0.0141463380534396,0.0111331597468992
"LTU",2002,101968.6015625,3444754,65300,1.0035988159,7.8137125,51.0321583333333,0.00143533722871583,0.018956360889631,0.0296011272684494
"LTU",2003,109442.0546875,3414352,65300,0.981259502,6.9001325,51.0255833333333,0.055012297653712,0.0191251517125358,0.0320535359820839
"LTU",2004,116106.90625,3381118,65300,1.0173061013,6.94718416666667,56.0341,0.0387568306224731,0.019313138435275,0.0343397971469792
"LTU",2005,121717.5703125,3344252,65300,1.1491693893,6.81902166666667,53.612,0.00919488681663504,0.0195260405017325,0.0363960521852121
"LTU",2006,141629.5625,3303671,65300,1.2150419343,7.41722416666667,49.1400583333333,0.0392958512905719,0.0197658907318556,0.0428703592155514
"LTU",2007,165277.03125,3260091,65300,1.1384142931,7.87082916666667,61.8082833333333,0.041755362838516,0.0200301157237635,0.050697060680208
"LTU",2008,182353.34375,3214627,65300,1.2584941707,8.251535,55.4348833333333,0.00859235206302512,0.0203133987240199,0.0567261283346404
"LTU",2009,182505.6875,3168772,65300,1.0555858206,7.18937833333333,58.3185916666667,0.310510816425785,0.0206073519962938,0.0575950833635238
"LTU",2010,213245.5625,3123803,65300,1.3256178205,6.39419166666667,68.9210083333333,0.0031646914791936,0.0209040070708684,0.0682647281214596
"LTU",2011,221246.203125,3079881,65300,1.5254126518,7.72667166666667,54.25045,0.00322585693607773,0.0212021178740347,0.0718359583129998
"LTU",2012,234729.609375,3037246,65300,1.6238606578,6.85741166666667,63.3629,0.003320975495116,0.0214997402251908,0.0772837002254674
"LTU",2013,248104.9375,2997334,65300,1.6687379338,7.59135166666667,55.5980666666667,0.00169297010634507,0.0217860271828231,0.0827752053991981
"LTU",2014,257047.1875,2961846,65300,1.6012927936,7.922555,52.2584416666667,0.00602234736933069,0.0220470611908924,0.0867861419871256
"LVA",2002,98454.828125,2332492,64589,0.8329865846,7.08623166666667,47.955745,0.000129023450925525,0.0276909845778678,0.0422101461119695
"LVA",2003,111663.84375,2305775,64589,0.847807483,6.29893416666667,52.9238083333333,0.000400274398497014,0.0280118398369312,0.0484279011395301
"LVA",2004,114111,2278855,64589,0.93713351,6.45953166666667,57.7979083333333,0.0461399486065345,0.0283427422982156,0.0500738309370276
"LVA",2005,130195.28125,2251983,64589,1.0083339756,6.46187583333333,53.7576416666667,0.0823058138510258,0.0286809447495829,0.0578136163772107
"LVA",2006,175321.859375,2225223,64589,1.0061859956,6.98428666666667,48.1249166666667,0.00149174525785991,0.0290258549367861,0.0787884447423921
"LVA",2007,188474.078125,2198518,64589,0.9592301934,7.3794925,59.230625,0.0120621966306821,0.029378426740195,0.0857277848646224
"LVA",2008,225162.984375,2171881,64589,0.9200137898,7.68809083333333,58.5046666666667,0.0787293319245963,0.0297387379879469,0.103671879064737
"LVA",2009,201072.25,2145309,64589,0.8682642155,6.59482166666667,61.2917591666667,0.0558689527050994,0.0301070848068973,0.0937264748341614
"LVA",2010,212630.28125,2118848,64589,1.0878898684,5.70824,68.8338083333333,0.0641477545979797,0.0304830738212463,0.100351833283935
