"iso_o","year","ck","pop_o","area","TO","temperature","rainfall","openness_hat","AperP","ckperP","hat_realopen"
"GNB",2011,5170.28662109375,1596154,36125,0.5662100801,27.4798666666667,121.53167,0.000470618026580043,0.0226325279390335,0.00323921540220665,0.529178435892351
"GNB",2012,5214.2080078125,1638139,36125,0.4117299285,27.4519833333333,126.689776666667,0.011549027251691,0.022052463191463,0.0031830070633887,0.541533106890872
"GNB",2013,5304.50439453125,1681495,36125,0.4408039117,27.5353,131.949525833333,0.000872609702707079,0.0214838581143566,0.00315463584163572,0.532236741087223
"GNB",2014,5404.1005859375,1725744,36125,0.5159301419,27.532875,111.218555833333,0.000256159261654327,0.0209330004913823,0.00313146132099402,0.526648735307627
"GRC",2002,1088495.625,11216799,131621,0.5034899626,14.5800725,63.40485,0.009670425934704,0.0117342746357495,0.0970415557058658,0.461639889708557
"GRC",2003,1146467.875,11243567,131621,0.4819005371,14.3768441666667,56.9979166666667,0.000213160406406447,0.0117063383888761,0.101966562301803,0.46639892365698
"GRC",2004,1250218.625,11270476,131621,0.4989844159,14.2834458333333,48.7346666666667,0.000907949241768824,0.0116783887388607,0.110928644451219,0.516966273783433
"GRC",2005,1279007.5,11301204,131621,0.5090086412,13.9108083333333,55.0477083333333,0.0199730795845731,0.0116466351726772,0.113174445837806,0.534365021179091
"GRC",2006,1501567.25,11338770,131621,0.5285023864,13.9206558333333,55.2427166666667,3.92739917608826e-05,0.0116080491975761,0.132427701593735,0.549845804686983
"GRC",2007,1650270.375,11380897,131621,0.5752437422,14.7330183333333,53.65242,0.0521013103000204,0.0115650813815466,0.14500354190008,0.576278439542756
"GRC",2008,1733972.125,11419647,131621,0.5932971572,14.756065,44.837495,0.00269243658863724,0.0115258378827297,0.151841131779292,0.60708146300893
"GRC",2009,1751806.375,11443828,131621,0.4774384655,14.6403133333333,70.6536083333333,0.000184877985675282,0.0115014835944756,0.153078705394733,0.492145794744141
"GRC",2010,1666770.5,11446005,131621,0.5282909793,15.10655,57.0941058333333,0.00253171081161489,0.011499296042593,0.145620284107861,0.556343677831982
"GRC",2011,1616750.5,11422805,131621,0.5784462005,14.086975,46.7455883333333,0.00433514340286275,0.0115226513977959,0.141537083054469,0.604362461276751
"GRC",2012,1895194.75,11378257,131621,0.6181776665,14.974655,56.0609816666667,0.00176240610848284,0.0115677647288157,0.166562835590724,0.622423298734177
"GRC",2013,2044242.25,11321300,131621,0.6351914245,15.1139175,52.5517833333333,0.0124212706917708,0.0116259616828456,0.180566034819323,0.610191372684693
"GRC",2014,2004816.375,11264726,131621,0.6714945369,14.8340516666667,72.4475833333333,0.00541434834089039,0.0116843498900905,0.177972937379924,0.60142369496149
"GRD",2002,1442.3515625,102100,345,0.8230610846,27.066625,120.391483333333,0.00504576021694552,0.00337904015670911,0.0141268517384917,0.758176390679356
"GRD",2003,1614.73034667969,102375,345,0.8307660656,27.033325,118.316575,0.00276989618062498,0.00336996336996337,0.015772701799069,0.761235995271915
"GRD",2004,1837.65563964844,102656,345,0.8626971275,26.7249583333333,153.433141666667,0.112608752669506,0.00336073877805486,0.0179011030981963,0.799727216866221
"GRD",2005,2224.4033203125,102949,345,0.7837998704,27.291625,149.099833333333,0.00180059744653532,0.00335117388221352,0.0216068472769284,0.82640185138236
"GRD",2006,2598.955078125,103259,345,0.8082174542,26.99165,130.816408333333,3.21139478045776e-05,0.00334111312331129,0.0251692838215071,0.837299255977669
"GRD",2007,3012.37231445312,103586,345,0.8513841007,26.9416666666667,104.099883333333,0.000595799063429136,0.00333056590658969,0.0290808826912239,0.849011536847795
"GRD",2008,3444.95361328125,103930,345,0.7984904772,26.79165,120.65815,0.00262013130174946,0.00331954199942269,0.0331468643633335,0.86846470210496
"GRD",2009,3879.28540039062,104296,345,0.7107925591,27.249975,101.158325,0.00110004354271005,0.00330789292015034,0.0371949585831731,0.757669164827959
"GRD",2010,4529.505859375,104677,345,0.7306377688,27.29165,136.916491666667,0.00275460042845124,0.00329585295719212,0.0432712616847541,0.799207508832645
"GRD",2011,5637.5732421875,105075,345,0.7598701656,27.1583083333333,161.532833333333,0.000573192782709573,0.00328336902212705,0.05365285027064,0.84378334692784
"GRD",2012,5616.37646484375,105481,345,0.7528298725,27.41665,91.333225,0.00542464200037413,0.00327073122173662,0.0532453850915686,0.865410228083746
"GRD",2013,5711.02783203125,105909,345,0.7577902841,27.283325,109.882991666667,0.000347961354935264,0.00325751352576268,0.0539239142285476,0.852098330772279
"GRD",2014,5848.6083984375,106360,345,1.1906138983,27.0916333333333,108.241391666667,0.000960409997844826,0.0032437006393381,0.054988796525362,0.842465200025135
"GTM",2002,112948.8515625,12208848,108889,0.6603185999,24.2153916666667,203.595675,0.0610534494396005,0.00891885950255094,0.0092513930521946,0.557105623325865
"GTM",2003,122840.9140625,12500478,108889,0.6595964993,24.1898333333333,169.340566666667,0.0198228257558095,0.00871078689950896,0.00982689734444555,0.564716815163042
"GTM",2004,136110.9375,12796925,108889,0.6907811715,24.2963916666667,187.086775,0.00218199246426604,0.00850899727864311,0.0106362221783749,0.616750606653954
"GTM",2005,153376.921875,13096028,108889,0.6604865509,24.3100166666667,232.438275,0.00195218370585588,0.0083146584598017,0.0117117130381059,0.632800142792186
"GTM",2006,173933.109375,13397008,108889,0.6681818653,24.1533333333333,251.076525,0.00350195837886294,0.00812785959372421,0.0129829816758339,0.646045635339322
"GTM",2007,192681.015625,13700286,108889,0.6789849736,23.99855,204.010783333333,0.00228805312221638,0.00794793626935963,0.0140640141107273,0.65974475422083
"GTM",2008,209983.75,14006366,108889,0.64125144,23.9806583333333,223.058091666667,0.000482111434886782,0.00777425065145377,0.0149920221990486,0.684339695710293
"GTM",2009,223994.40625,14316208,108889,0.5710586225,24.3116833333333,190.456083333333,0.0174903759834335,0.00760599454827703,0.0156462106620692,0.574731989689162
"GTM",2010,241053.609375,14630417,108889,0.6211500929,24.08255,247.180933333333,0.0200998390646141,0.00744264500458189,0.0164761954068021,0.616060517403732
"GTM",2011,266095.21875,14948919,108889,0.6398399115,24.0355416666667,239.556191666667,0.0319378920077425,0.00728407184492738,0.0178002983861241,0.67067770178599
"GTM",2012,272282.8125,15271056,108889,0.6098250445,24.2005166666667,186.78325,0.00407840644338767,0.00713041717612718,0.0178299924052403,0.689179483415743
"GTM",2013,281013.78125,15596214,108889,0.5854841523,24.0862083333333,276.237383333333,0.00114199629126556,0.00698175852165147,0.0180180767749147,0.671819337755842
"GTM",2014,292397.53125,15923559,108889,0.567179151,24.3316083333333,214.777308333333,0.0165855429057058,0.00683823258355748,0.0183625740483016,0.670165771944011
"HND",2002,56023.1875,6863157,112088,1.1799745445,24.1849833333333,148.420466666667,0.124568222346919,0.0163318426199488,0.00816288881341342,1.14284595745673
"HND",2003,59671.41796875,7033821,112088,1.2224827718,24.16675,149.731383333333,0.0196810233689722,0.0159355775473956,0.0084834996467425,1.15263531644992
"HND",2004,65749.4921875,7204153,112088,1.3546175874,24.091275,165.77235,0.0231650034120051,0.0155588033735541,0.00912660963578924,1.20138391823236
"HND",2005,72955.3984375,7373430,112088,1.3648976802,24.1810416666667,165.214841666667,0.0231264848938481,0.0152016090204966,0.00989436374082347,1.22169235102413
"HND",2006,81215.0703125,7541406,112088,1.331318351,24.0679916666667,205.679733333333,0.0399582840398832,0.014863010955782,0.0107692213245779,1.23539120492
"HND",2007,89601.125,7707972,112088,1.3507063492,23.8316333333333,146.672025,0.00101214815139232,0.0145418276039404,0.0116244746348326,1.2498804930982
"HND",2008,97798.84375,7872658,112088,1.357489552,24.1365083333333,184.8867,0.17642467818404,0.0142376310516728,0.0124225952340366,1.27259888218339
"HND",2009,100695.8984375,8035021,112088,0.9690500602,24.3985666666667,145.318166666667,0.00730924782626609,0.013949932427059,0.0125321263550525,1.1710730433877
"HND",2010,104274.5625,8194778,112088,1.0944183824,24.1800333333333,186.126291666667,0.0117502795425739,0.0136779788299329,0.0127245134035358,1.21577466353332
