"iso_o","iso_d","year","ck","pop_o","pop_d","area","temperature","rainfall","TO","dis_int","lat","lon","landlocked","contig","dist","distcap","wto_o","wto_d","rta"
"FIN","ABW",2014,1003242.0625,5459.717,103.795,336593,3.27772416666667,43.1099583333333,0.7537449994,218.2159,60.13334,25,0,0,9087.563,9087.563,1,NA,0
"BFA","ABW",2014,68305.0546875,17585.977,103.795,274200,28.9502916666667,70.6261316666667,0.4662500863,196.9552,12.33333,-1.666667,1,0,7414.016,7414.016,1,NA,0
"ESP","ABW",2014,8438931,46521.827,103.795,505954,14.400725,52.9506333333333,0.6299647338,267.5404,40.41667,-3.716667,0,0,7121.524,7121.524,1,NA,0
"BEN","ABW",2014,61224.7265625,10286.712,103.795,112622,28.1641333333333,87.6081075,0.7417685593,126.225,6.4,2.517,0,0,7979.945,8006.697,1,NA,0
"ZAF","AFG",2002,775340.25,47026.173,21979.923,1219912,17.942175,34.6774833333333,0.597646363,415.4302,-25.73,28.22,0,0,9273.133,7977.64,1,0,0
"ALB","AFG",2002,37005.26171875,3119.029,21979.923,28748,12.4493066666667,81.7906666666667,0.6852516159,63.77311,41.33333,19.81667,0,0,4342.117,4342.117,1,0,0
"OMN","AFG",2002,98574.171875,2334.285,21979.923,212379,26.0791833333333,6.33056,0.7701842503,173.3363,23.61667,58.63334,0,0,1587.942,1587.942,1,0,0
"ZMB","AFG",2002,76373.9609375,11120.409,21979.923,752614,22.5976416666667,76.9995316666667,0.64916497,326.3022,-15.46667,28.26667,1,0,7048.76,7048.76,1,0,0
"LBR","AFG",2002,3551.39965820312,3062.863,21979.923,111369,25.5828333333333,205.475533333333,0.7313627832,125.5209,6.333333,-10.76667,0,0,8699.117,8699.117,0,0,0
"TUR","AFG",2002,1047816.1875,65143.054,21979.923,780576,11.3786641666667,47.770925,0.4746052193,332.3085,41.03333,28.95,0,0,3581.608,3254.253,1,0,0
"NPL","AFG",2002,86694.5546875,24566.342,21979.923,147181,13.0923141666667,114.366489166667,0.462307185,144.2978,27.7,85.31667,1,0,1710.066,1710.066,0,0,0
"TGO","AFG",2003,12466.3447265625,5391.401,23064.851,56785,27.4983916666667,108.432153333333,0.812507059,89.62943,6.166667,1.35,0,0,7601.833,7601.833,1,0,0
"BRB","AFG",2003,5817.16015625,272.258,23064.851,431,26.8956833333333,139.978358333333,0.8829412034,7.808587,13.1,-59.61666,0,0,12465.55,12465.55,1,0,0
"NZL","AFG",2003,288797.34375,4022.069,23064.851,268676,9.9819225,133.595858333333,0.5791476934,194.9612,-44.28333,174.7833,0,0,13762,13762,1,0,0
"BEN","AFG",2003,33978.52734375,7520.555,23064.851,112622,28.0764916666667,102.3311625,0.4872235439,126.225,6.5,2.783333,0,0,7481.006,7450.474,1,0,0
"SGP","AFG",2003,559825,4249.295,23064.851,646,27.9551833333333,250.002516666667,3.82839751,9.559828,1.283333,103.85,0,0,5157.892,5157.892,1,0,0
"SVN","AFG",2003,156553.671875,1988.965,23064.851,20256,9.7006675,81.8985558333333,1.0210846677,53.53165,46.06667,14.5,0,0,4719.426,4719.426,1,0,0
"AUS","AFG",2004,2630114.75,19948.429,24118.979,7686848,21.9270083333333,40.2229166666667,0.3715629233,1042.817,-33.88334,151.1667,0,0,11433.49,11365.44,1,0,0
"MDV","AFG",2004,3209.36059570312,310.423,24118.979,298,28.2049083333333,185.25895,NA,6.492948,4.166667,73.46667,0,0,3406.564,3406.564,1,0,0
"MDG","AFG",2004,34069.83203125,17802.997,24118.979,587041,22.87835,124.202183333333,0.8012032439,288.1828,-18.86667,47.5,0,0,6370.142,6370.142,1,0,0
"LUX","AFG",2004,87505.796875,451.819,24118.979,2586,9.69625916666667,74.017475,2.812083939,19.12705,49.6,6.15,1,0,5304.336,5304.336,1,0,0
"SWE","AFG",2005,975693.4375,9038.623,25070.798,449964,2.83007,52.8844333333333,0.8457396971,252.3032,59.33333,18.08333,0,0,4597.182,4597.182,1,0,0
"ITA","AFG",2005,7681432,58808.483,25070.798,301323,11.9962891666667,75.2337083333333,0.4941381483,206.4667,41.88334,12.5,0,0,4935.994,4935.994,1,0,0
"CRI","AFG",2005,95635.7421875,4247.841,25070.798,51076,24.9418083333333,263.961408333333,0.896358585,85.00456,9.983334,-84.06667,0,0,14334.57,14334.57,1,0,0
"BEN","AFG",2005,39104.32421875,7982.225,25070.798,112622,28.2057666666667,81.2243275,0.458165601,126.225,6.4,2.517,0,0,7481.006,7450.474,1,0,0
"GNB","AFG",2005,5377.404296875,1380.838,25070.798,36125,27.8495833333333,116.670051666667,0.4131838096,71.48875,11.86667,-15.65,0,0,8805.014,8805.014,1,0,0
"BGR","AFG",2005,119377.5859375,7683.763,25070.798,110994,10.6770158333333,68.4308416666667,1.0049688109,125.3094,42.66667,23.3,0,0,4043.005,4043.005,1,0,0
"PAN","AFG",2005,73176.1953125,3330.465,25070.798,75648,25.4087666666667,197.527375,1.356943166,103.4505,8.95,-79.5,0,0,14179.02,14179.02,1,0,0
"COL","AFG",2006,1138099.375,43835.722,25893.45,1141748,24.5120166666667,242.810966666667,0.3974696046,401.9008,4.633333,-75.06667,0,0,14288.69,14288.69,1,0,0
"AGO","AFG",2006,255379.796875,20262.399,25893.45,1246700,21.6310333333333,92.6384091666667,0.9462515933,419.9666,-8.833333,13.25,0,0,7607.8,7607.8,1,0,0
"PAK","AFG",2006,900533.75,157093.993,25893.45,882872,20.9806483333333,29.5240866666667,0.3568172966,353.4131,33.66667,73.13333,0,1,374.6522,374.6522,1,0,0
"RUS","AFG",2006,5803052.5,143322.933,25893.45,17075400,-5.66803916666667,37.4943583333333,0.5473340186,1554.244,55.75,37.7,0,0,3367.526,3367.526,0,0,0
"ZAF","AFG",2006,1046179.75,49364.582,25893.45,1219912,18.0916083333333,49.0016033333333,0.6027726432,415.4302,-33.93333,18.46667,0,0,9273.133,7977.64,1,0,0
"NOR","AFG",2006,782386.625,4673.07,25893.45,323752,2.49794833333333,92.941225,0.7238867483,214.0129,59.91667,10.75,0,0,5014.602,5014.602,1,0,0
"CHN","AFG",2006,24752358,1329209.094,25893.45,9572378,7.42733083333333,45.6607308333333,0.644788839,1163.707,39.91667,116.4333,0,1,4180.438,4180.438,1,0,0
"ZMB","AFG",2006,87557.359375,12383.446,25893.45,752614,21.8201583333333,85.4706808333333,0.5785681888,326.3022,-15.46667,28.26667,1,0,7048.76,7048.76,1,0,0
"ISR","AFG",2006,644843.5,6755.211,25893.45,21621,20.181725,17.21219,0.8145782857,55.30593,32.08333,34.76667,0,0,3199.193,3199.193,1,0,0
"HND","AFG",2007,89601.125,7707.972,26616.792,112088,23.8316333333333,146.672025,1.3507063492,125.9254,14.08333,-87.23333,0,0,14078.02,14078.02,1,0,0
"ISR","AFG",2007,665483.75,6922.685,26616.792,21621,20.4373166666667,17.1335375,0.8196200273,55.30593,32.08333,34.76667,0,0,3199.193,3199.193,1,0,0
"COL","AFG",2007,1231251.5,44374.572,26616.792,1141748,24.4192083333333,238.796516666667,0.37184368,401.9008,4.633333,-75.06667,0,0,14288.69,14288.69,1,0,0
"BLZ","AFG",2007,3217.96044921875,298.407,26616.792,22963,25.885575,162.24205,1.2230994244,56.99649,17.21667,-88.8,0,0,13822.82,13822.82,1,0,0
"BRN","AFG",2007,80563.53125,374.864,26616.792,5765,25.5809916666667,305.682916666667,0.9575046727,28.55837,4.933333,114.9667,0,0,5741.141,5741.141,1,0,0
"HTI","AFG",2007,105312.6484375,9556.889,26616.792,27750,24.433275,174.443041666667,0.5218163645,62.65638,18.55,-72.33334,0,0,12861,12861,1,0,0
"IND","AFG",2008,12043926,1197146.906,27294.031,3287590,24.462575,86.8768933333333,0.5376337261,681.9816,28.61667,77.21667,0,0,1003.893,1003.893,1,0,0
"BRB","AFG",2008,10645.3330078125,277.319,27294.031,431,26.28725,207.21215,0.9460163112,7.808587,13.1,-59.61666,0,0,12465.55,12465.55,1,0,0
"HUN","AFG",2008,790099.0625,9991.201,27294.031,93032,11.6516316666667,52.4586733333333,1.5820796267,114.7229,47.5,19.05,1,0,4367.694,4367.694,1,0,0
"KWT","AFG",2008,375182.1875,2652.34,27294.031,17818,26.3378666666667,4.23693083333333,0.9268298839,50.20689,29.33333,48,0,0,2079.553,2079.553,1,0,0
"ATG","AFG",2008,5610.10400390625,92.478,27294.031,442,25.4696916666667,257.384333333333,1.1528359892,7.907605,17.13333,-61.83333,0,0,12297.09,12297.09,1,0,0
"ZAF","AFG",2008,1337760,50412.129,27294.031,1219912,18.4071666666667,35.7891991666667,0.7286539024,415.4302,-25.73,28.22,0,0,9273.133,7977.64,1,0,0
"HTI","AFG",2008,108108.2421875,9705.029,27294.031,27750,24.0448333333333,116.979741666667,0.5692246299,62.65638,18.55,-72.33334,0,0,12861,12861,1,0,0
"TGO","AFG",2009,18570.51953125,6330.472,28004.331,56785,27.4677333333333,104.006940833333,0.8372306529,89.62943,6.166667,1.35,0,0,7601.833,7601.833,1,0,0
"NPL","AFG",2009,140278.5625,26741.103,28004.331,147181,13.5592291666667,90.8800991666667,0.4707944777,144.2978,27.7,85.31667,1,0,1710.066,1710.066,1,0,0
"CAN","AFG",2009,4794359.5,33789.831,28004.331,9976139,-6.3187825,39.0734416666667,0.583482469,1187.996,43.65,-79.38,0,0,10768.89,10461.27,1,0,0
"MOZ","AFG",2009,28443.4140625,23524.063,28004.331,801590,24.2570833333333,75.2254475,0.7124674501,336.7518,-25.96667,32.58333,0,0,7760.658,7760.658,1,0,0
"CHE","AFG",2009,1410819.625,7737.161,28004.331,41288,7.51935666666667,121.303033333333,1.0693016652,76.42681,46.95,7.433333,1,0,5247.043,5247.043,1,0,0
"GEO","AFG",2009,67732.234375,4287.696,28004.331,69700,7.32259666666667,93.82405,0.7867361863,99.30022,41.71667,44.81667,0,0,2270.991,2270.991,1,0,0
"SVN","AFG",2009,244198.359375,2035.424,28004.331,20256,10.1846408333333,110.927033333333,1.1261653691,53.53165,46.06667,14.5,0,0,4719.426,4719.426,1,0,0
"ZAF","AFG",2009,1486557,50970.818,28004.331,1219912,18.3586333333333,40.234825,0.554182616,415.4302,-25.73,28.22,0,0,9273.133,7977.64,1,0,0
"LVA","AFG",2010,212630.28125,2118.848,28803.167,64589,5.70824,68.8338083333333,1.0878898684,95.59013,56.95,24.1,0,0,4186.274,4186.274,1,0,0
"CHE","AFG",2010,1464507.625,7831.971,28803.167,41288,6.4651125,123.311983333333,1.172521767,76.42681,46.95,7.433333,1,0,5247.043,5247.043,1,0,0
"MDG","AFG",2010,49396.03125,21151.64,28803.167,587041,24.5388916666667,110.709875,0.6802269417,288.1828,-18.86667,47.5,0,0,6370.142,6370.142,1,0,0
"SLV","AFG",2010,77955.6015625,6164.626,28803.167,21041,24.8088,178.8516,0.735372781,54.55907,13.66667,-89.16666,0,0,14203.46,14203.46,1,0,0
"RUS","AFG",2010,6746460,143153.869,28803.167,17075400,-5.3741525,37.4783,0.5035550549,1554.244,55.75,37.7,0,0,3367.526,3367.526,0,0,0
"IND","AFG",2010,15356803,1230980.691,28803.167,3287590,25.1492583333333,95.5394025,0.4968889125,681.9816,28.61667,77.21667,0,0,1003.893,1003.893,1,0,0
"GAB","AFG",2010,68214.59375,1640.21,28803.167,267667,25.482725,147.695416666667,0.8915766273,194.5948,0.3833333,9.416667,0,0,7263.688,7263.688,1,0,0
"EST","AFG",2011,136205.390625,1328.449,29708.599,45227,6.85996166666667,54.4417666666667,1.6734994921,79.98945,59.41667,24.75,0,0,4238.918,4238.918,1,0,0
"IND","AFG",2012,19233684,1263065.852,30696.958,3287590,24.5316666666667,84.9496275,0.5579372173,681.9816,28.61667,77.21667,0,0,1003.893,1003.893,1,0,0
