"iso_o","iso_d","contig","dist","distcap"
"AFG","PAL",0,3244.844,3244.844
"AFG","PAN",0,14179.02,14179.02
"AFG","PCN",0,17900.4,17900.4
"AFG","PER",0,15811.19,15811.19
"AFG","PHL",0,5617.854,5617.854
"AFG","PLW",0,7294.72,7294.72
"AFG","PNG",0,9528.009,9528.009
"AFG","POL",0,4267.977,4267.977
"AFG","PRI",0,12479.58,12479.58
"AFG","PRK",0,4989.095,4989.095
"AFG","PRT",0,6791.342,6791.342
"AFG","PRY",0,14862.55,14862.55
"AFG","PYF",0,15755.99,15755.99
"AFG","QAT",0,1987.925,1987.925
"AFG","REU",0,6333.151,6333.151
"AFG","ROM",0,3813.935,3813.935
"AFG","RUS",0,3367.526,3367.526
"AFG","RWA",0,5755.222,5755.222
"AFG","SAU",0,2425.437,2425.437
"AFG","SDN",0,4222.921,4222.921
"AFG","SEN",0,8799.582,8799.582
"AFG","SGP",0,5157.892,5157.892
"AFG","SHN",0,9691.432,9691.432
"AFG","SLB",0,10680.29,10680.29
"AFG","SLE",0,8795.566,8795.566
"AFG","SLV",0,14203.46,14203.46
"AFG","SMR",0,4901.499,4901.499
"AFG","SOM",0,4380.182,4380.182
"AFG","SPM",0,9474.967,9474.967
"AFG","STP",0,7512.917,7512.917
"AFG","SUR",0,12679.81,12679.81
"AFG","SVK",0,4508.77,4508.77
"AFG","SVN",0,4719.426,4719.426
"AFG","SWE",0,4597.182,4597.182
"AFG","SWZ",0,7872.171,7872.171
"AFG","SYC",0,4589.381,4589.381
"AFG","SYR",0,3022.602,3022.602
"AFG","TCA",0,12522.61,12522.61
"AFG","TCD",0,5989.595,5989.595
"AFG","TGO",0,7601.833,7601.833
"AFG","THA",0,3903.415,3903.415
"AFG","TJK",1,459.2474,459.2474
"AFG","TKL",0,13214.7,13214.7
"AFG","TKM",1,1042.731,1042.731
"AFG","TMP",0,7622.778,7622.778
"AFG","TON",0,13625,13625
"AFG","TTO",0,12807,12807
"AFG","TUN",0,5252.618,5252.618
"AFG","TUR",0,3581.608,3254.253
"AFG","TUV",0,12382.26,12382.26
"AFG","TWN",0,5105.786,5105.786
"AFG","TZA",0,5574.784,5731.842
"AFG","UGA",0,5380.85,5380.85
"AFG","UKR",0,3580.626,3580.626
"AFG","URY",0,15100.65,15100.65
"AFG","USA",0,10847.88,11155.07
"AFG","UZB",1,751.2709,751.2709
"AFG","VCT",0,12577.82,12577.82
