"country","iso3","area","dis_int","lat","lon","landlocked"
"Swaziland","SWZ",17364,49.56313,-26.33333,31.13333,1
"Seychelles","SYC",455,8.02305,-4.633333,55.46667,0
"Syrian Arab Republic","SYR",184004,161.342,33.5,36.31667,0
"Turks and Caicos Islands","TCA",430,7.799523,21.46667,-71.13333,0
"Chad","TCD",1284005,426.2036,12.16667,14.98333,1
"Togo","TGO",56785,89.62943,6.166667,1.35,0
"Thailand","THA",513115,269.427,13.73333,100.5,0
"Tajikistan","TJK",143095,142.2807,38.63334,68.85,1
"Tokelau","TKL",10,1.189416,-9,-172,0
"Turkmenistan","TKM",488100,262.7775,37.95,58.38334,1
"East Timor","TMP",14874,45.872,-8.57,125.58,0
"Tonga","TON",748,10.2869,-21.15,-175.2333,0
"Trinidad and Tobago","TTO",5130,26.93968,10.63333,-61.51667,0
"Tunisia","TUN",164150,152.3892,36.83333,10.21667,0
"Turkey","TUR",780576,332.3085,41.03333,28.95,0
"Turkey","TUR",780576,332.3085,39.93,32.85,0
"Tuvalu","TUV",26,1.917876,-8.5,179.2,0
"Taiwan","TWN",35875,71.24096,25.08333,121.5333,0
"Tanzania, United Rep. of","TZA",945090,365.6541,-6.85,39.3,0
"Tanzania, United Rep. of","TZA",945090,365.6541,-6.17,35.74,0
"Uganda","UGA",241038,184.6616,0.3333333,32.58333,1
"Ukraine","UKR",603677,292.2376,50.41667,30.5,0
"Uruguay","URY",176215,157.8902,-34.91667,-56.16667,0
"United States of America","USA",9529106,1161.074,40.75,-74,0
"United States of America","USA",9529106,1161.074,38.867,-77,0
"Uzbekistan","UZB",447400,251.5833,41.26667,69.21667,1
"Saint Vincent and the Grenadines","VCT",389,7.418372,13.2,-61.23333,0
"Venezuela","VEN",911930,359.182,10.58333,-66.93333,0
"British Virgin Islands","VGB",153,4.652427,18.45,-64.61667,0
"Viet Nam","VNM",331114,216.4326,21.01667,105.8667,0
"Vanuatu","VUT",14763,45.70052,-17.75,168.3,0
"Wallis and Futuna","WLF",274,6.225999,-13.3,-176.2,0
"Samoa","WSM",2842,20.05145,-13.8,171.75,0
"Yemen","YEM",547244,278.243,15.4,44.23333,0
"Serbia and Montenegro","YUG",102173,120.227,44.83333,20.5,0
"South Africa","ZAF",1219912,415.4302,-25.73,28.22,0
"South Africa","ZAF",1219912,415.4302,-33.93333,18.46667,0
"Congo (Democratic Republic of the)","ZAR",2345410,576.0275,-4.3,15.3,0
"Zambia","ZMB",752614,326.3022,-15.46667,28.26667,1
"Zimbabwe","ZWE",390759,235.1193,-17.83333,31.05,1
