"Country_iso","Year","Rainfall"
"CHE",1904,112.6029
"CHL",1904,64.103725
"CHN",1904,47.3471583333333
"CIV",1904,108.850425
"CMR",1904,135.859858333333
"COG",1904,129.201675
"COK",1904,155.722141666667
"COL",1904,211.702166666667
"COM",1904,154.518666666667
"CPV",1904,34.0510366666667
"CRI",1904,285.936
"CUB",1904,111.633541666667
"CXR",1904,246.616333333333
"CYM",1904,98.9414
"CYP",1904,48.69725
"CZE",1904,49.779525
"DEU",1904,51.2825166666667
"DJI",1904,23.5050716666667
"DMA",1904,230.996583333333
"DNK",1904,48.7835916666667
"DOM",1904,132.61625
"DZA",1904,9.7004125
"ECU",1904,176.153525
"EGY",1904,3.68615
"ERI",1904,18.4311875
"ESH",1904,3.48301083333333
"ESP",1904,46.208075
"EST",1904,51.8283833333333
"ETH",1904,63.841925
"FIN",1904,41.9108666666667
"FJI",1904,226.616416666667
"FLK",1904,45.40535
"FRA",1904,57.2974
"FRO",1904,144.339575
"FSM",1904,319.296833333333
"GAB",1904,147.207013333333
"GBR",1904,86.6993666666667
"GEO",1904,77.0229333333333
"GHA",1904,81.3186875
"GIB",1904,63.2355583333333
"GIN",1904,162.0670875
"GLP",1904,246.728333333333
"GMB",1904,82.977305
"GNB",1904,144.997494166667
"GNQ",1904,181.412466666667
"GRC",1904,54.9852241666667
"GRD",1904,136.483225
"GRL",1904,41.7392333333333
"GTM",1904,214.598216666667
"GUF",1904,266.376441666667
"GUM",1904,640.94325
"GUY",1904,189.26175
"HND",1904,161.789033333333
"HRV",1904,87.850825
"HTI",1904,148.768775
"HUN",1904,45.4023416666667
"IDN",1904,240.938333333333
"IND",1904,79.0631058333333
"IOT",1904,202.583333333333
"IRL",1904,91.658475
"IRN",1904,20.5258025
"IRQ",1904,18.4805758333333
"ISL",1904,75.6124666666667
"ISR",1904,34.3519733333333
"ITA",1904,78.7065166666667
"JAM",1904,186.360425
"JOR",1904,12.7473016666667
"JPN",1904,131.694608333333
"KAZ",1904,19.4749833333333
"KEN",1904,54.9487083333333
"KGZ",1904,30.4810508333333
"KHM",1904,154.937320833333
"KIR",1904,92.3210333333333
"KNA",1904,186.25175
"KOR",1904,85.4830975
"KWT",1904,8.52067333333333
"LAO",1904,167.296914166667
"LBN",1904,59.1801491666667
"LBR",1904,209.737641666667
"LBY",1904,4.43995833333333
"LCA",1904,176.389341666667
"LIE",1904,145.815691666667
"LKA",1904,117.21175
"LSO",1904,51.469
"LTU",1904,54.6403883333333
"LUX",1904,67.27605
