CountryName,CountryCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Botswana,BWA,39.64394208,42.52550467,44.83899262,47.34535685,48.57670261,50.6097561,50.94850949,50.77349314,62.94736842,52.56525653,60.91370558,61.56387665,60.54287962,61.96518147,64.77518634,63.79211879,66.32148377,69.30966469,68.524389,65.24992517,66.44230186,71.53032832,69.27419741,62.56561807,57.96219857,51.23175935,49.12874011,48.44218821,43.9296497,46.13626671,49.79191333,46.52887119,41.57169149,39.11240781,40.35821104,43.7586738,37.12713079,47.7236766,52.55186722,43.73181291,40.09291962,38.86745733,39.67834728,37.00718468,41.38403511,35.58179851,34.08011528,40.58855625,51.04194313,51.88507096,51.26433191,53.59504374,61.40415192,61.43658958,53.94247274,53.55960632,43.16155733,33.92763912
Central African Republic,CAF,34.18181226,35.76158881,37.70490743,38.48580502,40.80459028,37.66937669,42.5257732,46.89823821,39.63122536,37.59845824,41.56234991,37.42346234,33.81308706,36.48688336,43.33611318,39.91997006,29.32661081,34.32490613,33.88576027,35.13293947,41.08078286,34.0597439,34.2245066,36.61626111,35.50167739,31.63597524,28.62263185,28.5502934,25.05388217,26.46316121,25.87551465,26.12265066,26.36337608,22.88906748,25.01862134,28.25494616,25.61401875,28.9342281,28.3926453,23.98869362,25.2875684,22.5732459,20.14585984,17.99522216,19.24603741,21.70818354,22.07986508,23.4655716,23.43385711,23.23560283,26.50978916,22.02756873,21.78209867,25.00493511,37.56251599,34.57869944,30.02529211,31.77479991
Canada,CAN,18.13555927,18.05176693,17.79289882,17.44946007,18.15451673,18.65312117,19.30630827,19.2523871,19.98266478,21.14291917,19.38059594,19.40821551,20.35352044,21.33904857,23.88963479,23.70728561,22.40859316,22.89373924,24.18568081,25.7979202,25.70881036,25.67191743,21.35878151,21.71764465,24.48641261,25.26828289,26.05281724,24.83363232,25.28711517,24.99469378,24.89491296,24.86482003,26.53756395,29.11276806,31.61909901,32.99238938,33.19035779,36.24187135,38.11404094,38.31676052,38.62025799,36.37011675,35.69828795,33.01560007,32.89259588,32.91473422,32.65183718,32.03887814,32.60109515,29.91249645,30.98877285,31.76399864,32.18353222,31.81005643,32.52072677,33.9997624,33.38422977,33.1686256
Central Europe and the Baltics,CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.40393807,36.73450921,39.34789871,39.54486987,39.55801265,44.22720121,44.22501332,43.55648392,45.51358304,48.98434979,49.9243858,54.31002604,55.53686805,55.08020167,47.21897856,53.08475009,57.35397413,58.50402911,58.14345132,59.73215488,59.75713599,59.51130505,61.54228999
Switzerland,CHE,26.74533092,28.64328651,28.85280936,28.28332618,28.29878621,27.01668257,26.76577952,26.13048391,26.71442059,28.72805516,,,,,,,,,,,49.29035048,48.3830612,44.33942132,44.63659414,45.02222062,45.72791562,43.63845023,40.30958033,41.51619208,44.08178479,41.59232807,38.74893635,38.42151989,37.04925496,36.24914414,36.41364987,37.92931184,42.13131333,42.16448516,42.66280891,45.98769432,45.27436143,42.21604709,41.42145819,42.52151395,46.53934249,48.02666703,50.0072114,52.1182314,49.69971218,53.2865076,57.0306713,56.64875379,59.87160882,52.58640491,50.62987722,54.58890138,53.9274733
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,15.83330939,15.52468007,12.79794588,14.76935984,13.22681423,12.65400206,13.40459475,12.90646916,13.09848401,14.06412733,13.96930843,12.0426023,13.16159179,15.38796715,19.30379884,26.57162139,20.30689696,22.02142537,23.65739455,25.54806916,26.44874681,26.21654346,21.25208914,21.39706073,24.46083953,24.33277328,24.73353748,25.84909388,25.98106676,29.27290095,29.2511137,26.79327708,27.29225862,27.72838389,25.75178803,26.34090127,28.12243213,28.47616391,28.80003161,26.58113603,28.78412198,30.7444961,30.58979187,30.65724111,29.93129296,31.4569444,29.3035443,31.33841161,39.36560568,29.29642931,31.31860345,34.44370847,34.14998768,32.77400322,32.15659845,29.58617478,27.32914681,26.99146878
China,CHN,4.428270186,3.489410046,2.908277405,2.85988945,2.864140418,3.189158016,3.235029385,2.976256828,2.918410642,2.405463256,2.460850112,2.132768936,2.507443974,3.758798346,5.403684974,4.849481823,4.326440474,4.086153846,5.094187394,5.923734773,6.513236386,7.44960399,8.673338938,8.403302179,9.505919118,12.37605329,11.16930207,12.37553056,15.68244977,13.26136582,10.65842194,11.46184596,14.48749678,19.35378332,17.23306642,16.32307795,15.89144991,15.0398529,14.08237469,15.36187057,18.51709397,18.21521353,20.10265796,24.82323147,28.44418664,28.3780353,28.44385835,26.71643833,24.93329888,20.14877647,22.6218853,24.10550867,22.699663,22.06025329,21.38150201,18.10499392,17.37543911,18.04601949
Cote d'Ivoire,CIV,22.9045205,28.10353653,25.74692896,23.51986591,24.72276998,30.12421965,28.69635519,28.79128767,27.99496361,27.06979362,29.10763118,28.42732647,29.00665084,33.23197974,38.37618374,36.58478424,36.2477536,36.33056219,37.43549421,37.66260588,41.17866036,42.28419538,39.32679298,35.72031705,31.79127049,32.39760073,30.18144875,29.62025808,27.89014302,29.05520841,27.11162094,26.98609497,28.11557841,25.90606897,29.30925615,34.44304424,32.41828092,35.29209033,34.97024122,34.13761636,33.85677511,32.85029407,32.40131462,33.37607442,38.20167264,44.02427718,42.70214102,42.21164881,40.15876601,39.92478737,43.3267912,37.33487399,44.74561787,38.59577894,34.37059715,34.24689727,30.34930253,31.70090162
Cameroon,CMR,,,,,,24.26064636,23.57723647,22.57924437,24.633204,22.8591363,24.67002097,27.15797275,26.08574991,23.99716818,22.79992343,25.54303477,27.36461919,27.80575609,28.12202863,28.24239492,27.1313909,28.41412507,28.91105566,29.3035876,30.99342605,31.57581732,22.72443642,20.62603884,15.96163399,17.76944715,17.31353104,14.63989889,18.31556992,12.53476986,18.94761842,17.61302801,23.17733982,24.96267072,22.46801742,20.31852628,24.94465955,28.28572047,27.54591723,25.71369995,24.2256192,26.37058565,26.30851337,29.60777145,32.92190211,26.36925342,26.95171122,31.00422527,30.26891355,30.03771287,30.12672029,27.60954078,23.96516838,22.60605047
