pr,"	Year", Month, Country, ISO3, ISO2
0.50992,1934,3,EGY,,
0.9842,1934,4,EGY,,
3.10683,1934,5,EGY,,
1.55431,1934,6,EGY,,
2.7355,1934,7,EGY,,
2.94725,1934,8,EGY,,
1.07015,1934,9,EGY,,
0.69819,1934,10,EGY,,
1.90134,1934,11,EGY,,
6.43065,1934,12,EGY,,
1.52629,1935,1,EGY,,
2.89885,1935,2,EGY,,
1.97295,1935,3,EGY,,
0.53523,1935,4,EGY,,
1.05841,1935,5,EGY,,
1.51713,1935,6,EGY,,
2.61964,1935,7,EGY,,
2.79442,1935,8,EGY,,
1.0789,1935,9,EGY,,
0.90668,1935,10,EGY,,
2.46151,1935,11,EGY,,
0.89226,1935,12,EGY,,
0.77618,1936,1,EGY,,
1.43862,1936,2,EGY,,
0.60818,1936,3,EGY,,
1.21966,1936,4,EGY,,
2.482,1936,5,EGY,,
1.5172,1936,6,EGY,,
2.99062,1936,7,EGY,,
2.94643,1936,8,EGY,,
1.13799,1936,9,EGY,,
2.94889,1936,10,EGY,,
3.48357,1936,11,EGY,,
10.0755,1936,12,EGY,,
4.3186,1937,1,EGY,,
1.37141,1937,2,EGY,,
0.65499,1937,3,EGY,,
4.43364,1937,4,EGY,,
0.55354,1937,5,EGY,,
1.46717,1937,6,EGY,,
2.61763,1937,7,EGY,,
2.51333,1937,8,EGY,,
1.06713,1937,9,EGY,,
6.37105,1937,10,EGY,,
5.01153,1937,11,EGY,,
5.43297,1937,12,EGY,,
4.06969,1938,1,EGY,,
9.52843,1938,2,EGY,,
2.61003,1938,3,EGY,,
2.33992,1938,4,EGY,,
0.74751,1938,5,EGY,,
1.46557,1938,6,EGY,,
2.6237,1938,7,EGY,,
2.30808,1938,8,EGY,,
1.83084,1938,9,EGY,,
0.57174,1938,10,EGY,,
5.23767,1938,11,EGY,,
1.98037,1938,12,EGY,,
0.88575,1939,1,EGY,,
8.4103,1939,2,EGY,,
4.20249,1939,3,EGY,,
1.28269,1939,4,EGY,,
0.62521,1939,5,EGY,,
1.46758,1939,6,EGY,,
2.65019,1939,7,EGY,,
2.30022,1939,8,EGY,,
1.08546,1939,9,EGY,,
0.7443,1939,10,EGY,,
3.89764,1939,11,EGY,,
2.08401,1939,12,EGY,,
2.54915,1940,1,EGY,,
2.17468,1940,2,EGY,,
1.86998,1940,3,EGY,,
1.70469,1940,4,EGY,,
0.87345,1940,5,EGY,,
1.46724,1940,6,EGY,,
2.6811,1940,7,EGY,,
2.36381,1940,8,EGY,,
1.06979,1940,9,EGY,,
1.89624,1940,10,EGY,,
1.57669,1940,11,EGY,,
2.19372,1940,12,EGY,,
1.02883,1941,1,EGY,,
2.80882,1941,2,EGY,,
4.29389,1941,3,EGY,,
2.55838,1941,4,EGY,,
0.77139,1941,5,EGY,,
1.47115,1941,6,EGY,,
2.64839,1941,7,EGY,,
2.34329,1941,8,EGY,,
1.08782,1941,9,EGY,,
0.74465,1941,10,EGY,,
2.01588,1941,11,EGY,,
5.08422,1941,12,EGY,,
2.01897,1942,1,EGY,,
13.8772,1942,2,EGY,,
2.15813,1942,3,EGY,,
0.49703,1942,4,EGY,,
1.13479,1942,5,EGY,,
1.47115,1942,6,EGY,,
2.77585,1942,7,EGY,,
2.41586,1942,8,EGY,,
1.08605,1942,9,EGY,,
2.70642,1942,10,EGY,,
1.82168,1942,11,EGY,,
2.2338,1942,12,EGY,,
3.62371,1943,1,EGY,,
2.63495,1943,2,EGY,,
4.99568,1943,3,EGY,,
1.98928,1943,4,EGY,,
1.54534,1943,5,EGY,,
1.42531,1943,6,EGY,,
3.10544,1943,7,EGY,,
2.36859,1943,8,EGY,,
1.09942,1943,9,EGY,,
3.24613,1943,10,EGY,,
1.99521,1943,11,EGY,,
6.87476,1943,12,EGY,,
3.07922,1944,1,EGY,,
0.54804,1944,2,EGY,,
1.76137,1944,3,EGY,,
0.73159,1944,4,EGY,,
4.97666,1944,5,EGY,,
1.42156,1944,6,EGY,,
2.71806,1944,7,EGY,,
2.381,1944,8,EGY,,
1.20312,1944,9,EGY,,
0.34906,1944,10,EGY,,
4.55074,1944,11,EGY,,
4.47619,1944,12,EGY,,
2.25343,1945,1,EGY,,
3.63968,1945,2,EGY,,
1.98565,1945,3,EGY,,
0.95464,1945,4,EGY,,
6.53167,1945,5,EGY,,
1.42845,1945,6,EGY,,
2.59363,1945,7,EGY,,
2.3834,1945,8,EGY,,
1.0732,1945,9,EGY,,
2.5608,1945,10,EGY,,
4.61929,1945,11,EGY,,
2.23642,1945,12,EGY,,
0.72834,1946,1,EGY,,
2.31054,1946,2,EGY,,
3.86615,1946,3,EGY,,
0.86204,1946,4,EGY,,
2.14765,1946,5,EGY,,
1.42156,1946,6,EGY,,
2.82886,1946,7,EGY,,
2.39836,1946,8,EGY,,
1.2809,1946,9,EGY,,
0.67544,1946,10,EGY,,
2.52495,1946,11,EGY,,
0.98723,1946,12,EGY,,
5.397,1947,1,EGY,,
0.44188,1947,2,EGY,,
1.79349,1947,3,EGY,,
0.54814,1947,4,EGY,,
0.7695,1947,5,EGY,,
3.06969,1947,6,EGY,,
2.93162,1947,7,EGY,,
2.3049,1947,8,EGY,,
2.34877,1947,9,EGY,,
1.0902,1947,10,EGY,,
2.90017,1947,11,EGY,,
0.9042,1947,12,EGY,,
1.75012,1948,1,EGY,,
6.9783,1948,2,EGY,,
4.21328,1948,3,EGY,,
4.64875,1948,4,EGY,,
0.83701,1948,5,EGY,,
1.42134,1948,6,EGY,,
2.55811,1948,7,EGY,,
2.28447,1948,8,EGY,,
1.09354,1948,9,EGY,,
0.69901,1948,10,EGY,,
3.02158,1948,11,EGY,,
5.45137,1948,12,EGY,,
4.35988,1949,1,EGY,,
4.81529,1949,2,EGY,,
2.95479,1949,3,EGY,,
2.21567,1949,4,EGY,,
1.71485,1949,5,EGY,,
1.42061,1949,6,EGY,,
2.55751,1949,7,EGY,,
2.89476,1949,8,EGY,,
1.07025,1949,9,EGY,,
0.32221,1949,10,EGY,,
1.4143,1949,11,EGY,,
8.92255,1949,12,EGY,,
6.32186,1950,1,EGY,,
2.47346,1950,2,EGY,,
2.20731,1950,3,EGY,,
1.72208,1950,4,EGY,,
5.25275,1950,5,EGY,,
1.42068,1950,6,EGY,,
2.9222,1950,7,EGY,,
3.24489,1950,8,EGY,,
1.06921,1950,9,EGY,,
1.15253,1950,10,EGY,,
1.42145,1950,11,EGY,,
0.8237,1950,12,EGY,,
1.63466,1951,1,EGY,,
2.57923,1951,2,EGY,,
1.16973,1951,3,EGY,,
0.62687,1951,4,EGY,,
2.3259,1951,5,EGY,,
1.42037,1951,6,EGY,,
2.58891,1951,7,EGY,,
2.35368,1951,8,EGY,,
1.08317,1951,9,EGY,,
0.57555,1951,10,EGY,,
1.05642,1951,11,EGY,,
6.33359,1951,12,EGY,,
3.76837,1952,1,EGY,,
8.02607,1952,2,EGY,,
1.09819,1952,3,EGY,,
0.47313,1952,4,EGY,,
1.03939,1952,5,EGY,,
1.42037,1952,6,EGY,,
2.5577,1952,7,EGY,,
3.2529,1952,8,EGY,,
1.07103,1952,9,EGY,,
2.15832,1952,10,EGY,,
0.98441,1952,11,EGY,,
1.76132,1952,12,EGY,,
0.87269,1953,1,EGY,,
2.62745,1953,2,EGY,,
3.02055,1953,3,EGY,,
0.73225,1953,4,EGY,,
1.37838,1953,5,EGY,,
1.42042,1953,6,EGY,,
2.59349,1953,7,EGY,,
2.26211,1953,8,EGY,,
1.07197,1953,9,EGY,,
0.97721,1953,10,EGY,,
4.11686,1953,11,EGY,,
5.06258,1953,12,EGY,,
0.46465,1954,1,EGY,,
3.40995,1954,2,EGY,,
